season,home_team,away_team,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
2012,DEN,LAL,Al Harrington,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,1
2012,DEN,LAL,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Ty Lawson,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Troy Murphy,1
2012,DEN,LAL,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Ty Lawson,Kobe Bryant,Metta World Peace,Pau Gasol,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Ty Lawson,Andrew Bynum,Kobe Bryant,Metta World Peace,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Chris Andersen,Rudy Fernandez,Ty Lawson,Josh McRoberts,Kobe Bryant,Metta World Peace,Steve Blake,Troy Murphy,1
2012,DEN,LAL,Al Harrington,Andre Miller,Chris Andersen,Rudy Fernandez,Ty Lawson,Jason Kapono,Josh McRoberts,Metta World Peace,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Arron Afflalo,Chris Andersen,Rudy Fernandez,Jason Kapono,Josh McRoberts,Metta World Peace,Steve Blake,Troy Murphy,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,Jason Kapono,Josh McRoberts,Metta World Peace,Pau Gasol,Steve Blake,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,Andrew Bynum,Jason Kapono,Metta World Peace,Pau Gasol,Steve Blake,1
2012,DEN,LAL,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,Andrew Bynum,Kobe Bryant,Metta World Peace,Pau Gasol,Steve Blake,-1
2012,DEN,LAL,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,Andrew Bynum,Kobe Bryant,Metta World Peace,Pau Gasol,Steve Blake,-1
2012,DEN,LAL,Al Harrington,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,Derek Fisher,Josh McRoberts,Kobe Bryant,Matt Barnes,Pau Gasol,1
2012,DEN,LAL,Al Harrington,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Troy Murphy,1
2012,DEN,LAL,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Troy Murphy,-1
2012,DEN,LAL,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,-1
2012,DEN,LAL,Al Harrington,Arron Afflalo,Danilo Gallinari,Timofey Mozgov,Ty Lawson,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Danilo Gallinari,Timofey Mozgov,Ty Lawson,Josh McRoberts,Kobe Bryant,Matt Barnes,Pau Gasol,Steve Blake,-1
2012,DEN,LAL,Al Harrington,Andre Miller,Danilo Gallinari,Timofey Mozgov,Ty Lawson,Josh McRoberts,Kobe Bryant,Metta World Peace,Pau Gasol,Steve Blake,-1
