season,team,player_0,player_1,player_2,player_3,target_player
7,2,121,545,210,931,669
7,2,669,545,210,931,121
7,2,669,121,210,931,545
7,2,669,121,545,931,210
7,2,669,121,545,210,931
7,2,605,213,931,370,68
7,2,68,213,931,370,605
7,2,68,605,931,370,213
7,2,68,605,213,370,931
7,2,68,605,213,931,370
7,2,605,931,370,440,623
7,2,623,931,370,440,605
7,2,623,605,370,440,931
7,2,623,605,931,440,370
7,2,623,605,931,370,440
7,2,121,545,210,469,68
7,2,68,545,210,469,121
7,2,68,121,210,469,545
7,2,68,121,545,469,210
7,2,68,121,545,210,469
7,2,605,213,931,370,68
7,2,68,213,931,370,605
7,2,68,605,931,370,213
7,2,68,605,213,370,931
7,2,68,605,213,931,370
7,2,605,213,931,370,669
7,2,669,213,931,370,605
7,2,669,605,931,370,213
